tray,coordinate,temperature,replicate,DAS
D.2,a5,6C,rep3,9
D.2,a5,6C,rep3,10
D.2,a5,6C,rep3,11
D.2,a5,6C,rep3,12
D.2,a5,6C,rep3,13
D.2,a5,6C,rep3,14
D.2,a5,6C,rep3,15
D.2,a5,6C,rep3,16
D.2,a5,6C,rep3,17
D.2,a5,6C,rep3,18
D.2,a5,6C,rep3,19
D.2,a5,6C,rep3,20
D.2,a5,6C,rep3,21
C.9,a1,6C,rep2,19
C.9,a1,6C,rep2,20
C.9,a1,6C,rep2,21
C.9,d5,6C,rep3,12
C.9,d5,6C,rep3,13
C.9,d5,6C,rep3,14
C.9,d5,6C,rep3,15
C.9,d5,6C,rep3,16
C.9,d5,6C,rep3,17
C.9,d5,6C,rep3,18
C.9,d5,6C,rep3,19
C.9,d5,6C,rep3,20
C.9,d5,6C,rep3,21
B.2,a1,6C,rep3,0
B.2,a1,6C,rep3,1
B.2,a1,6C,rep3,2
B.2,a1,6C,rep3,3
B.2,a1,6C,rep3,4
B.2,a1,6C,rep3,5
B.2,a1,6C,rep3,6
B.2,a1,6C,rep3,7
B.2,a1,6C,rep3,8
B.2,a1,6C,rep3,9
B.2,a1,6C,rep3,10
B.2,a1,6C,rep3,11
B.2,a1,6C,rep3,12
B.2,a1,6C,rep3,13
B.2,a1,6C,rep3,14
B.2,a1,6C,rep3,15
B.2,a1,6C,rep3,16
B.2,a1,6C,rep3,17
B.2,a1,6C,rep3,18
B.2,a1,6C,rep3,19
B.2,a1,6C,rep3,20
B.2,a1,6C,rep3,21
A.2,b1,6C,rep2,4
A.2,b1,6C,rep2,5
A.2,b1,6C,rep2,6
A.9,b6,6C,rep3,0
A.9,b6,6C,rep3,1
A.9,b6,6C,rep3,2
A.9,b6,6C,rep3,3
A.9,b6,6C,rep3,4
A.9,b6,6C,rep3,5
A.9,b6,6C,rep3,6
A.9,b6,6C,rep3,7
A.9,b6,6C,rep3,8
A.9,b6,6C,rep3,9
A.9,b6,6C,rep3,10
A.9,b6,6C,rep3,11
A.9,b6,6C,rep3,12
A.9,b6,6C,rep3,13
A.9,b6,6C,rep3,14
A.9,b6,6C,rep3,15
A.9,b6,6C,rep3,16
A.9,b6,6C,rep3,17
A.9,b6,6C,rep3,18
A.9,b6,6C,rep3,19
A.9,b6,6C,rep3,20
A.9,b6,6C,rep3,21
A.7,e5,6C,rep3,11
A.7,e5,6C,rep3,12
A.7,e5,6C,rep3,13
A.7,e5,6C,rep3,14
A.7,e5,6C,rep3,15
A.7,e5,6C,rep3,16
A.7,e5,6C,rep3,17
A.7,e5,6C,rep3,18
A.7,e5,6C,rep3,19
A.7,e5,6C,rep3,20
A.7,e5,6C,rep3,21
D.8,c1,6C,rep2,20
D.8,c1,6C,rep2,21
C.2,b7,6C,rep3,11
C.2,b7,6C,rep3,12
C.2,b7,6C,rep3,13
C.2,b7,6C,rep3,14
C.2,b7,6C,rep3,15
C.2,b7,6C,rep3,16
C.2,b7,6C,rep3,17
C.2,b7,6C,rep3,18
C.2,b7,6C,rep3,19
C.2,b7,6C,rep3,20
C.2,b7,6C,rep3,21
C.7,a7,6C,rep3,0
C.7,a7,6C,rep3,1
C.7,a7,6C,rep3,2
C.7,a7,6C,rep3,3
C.7,a7,6C,rep3,4
C.7,a7,6C,rep3,5
C.7,a7,6C,rep3,6
C.7,a7,6C,rep3,7
C.7,a7,6C,rep3,8
C.7,a7,6C,rep3,9
C.7,a7,6C,rep3,10
C.7,a7,6C,rep3,11
C.7,a7,6C,rep3,12
C.7,a7,6C,rep3,13
C.7,a7,6C,rep3,14
C.7,a7,6C,rep3,15
C.7,a7,6C,rep3,16
C.7,a7,6C,rep3,17
C.7,a7,6C,rep3,18
C.7,a7,6C,rep3,19
C.7,a7,6C,rep3,20
C.7,a7,6C,rep3,21
A.4,c6,6C,rep2,0
A.4,c6,6C,rep2,1
A.4,c6,6C,rep2,2
A.4,c6,6C,rep2,3
A.4,c6,6C,rep2,4
A.4,c6,6C,rep2,5
A.4,c6,6C,rep2,6
A.4,c6,6C,rep2,7
A.4,c6,6C,rep2,8
A.4,c6,6C,rep2,9
A.4,c6,6C,rep2,10
A.4,c6,6C,rep2,11
A.4,c6,6C,rep2,12
A.4,c6,6C,rep2,13
A.4,c6,6C,rep2,14
A.4,c6,6C,rep2,15
A.4,c6,6C,rep2,16
A.4,c6,6C,rep2,17
A.4,c6,6C,rep2,18
A.4,c6,6C,rep2,19
A.4,c6,6C,rep2,20
A.4,c6,6C,rep2,21
A.2,c2,6C,rep2,0
A.2,c2,6C,rep2,1
A.2,c2,6C,rep2,2
A.2,c2,6C,rep2,3
A.2,c2,6C,rep2,4
A.2,c2,6C,rep2,5
A.2,c2,6C,rep2,6
A.2,c2,6C,rep2,7
A.2,c2,6C,rep2,8
A.2,c2,6C,rep2,9
A.2,c2,6C,rep2,10
A.2,c2,6C,rep2,11
A.2,c2,6C,rep2,12
A.2,c2,6C,rep2,13
A.2,c2,6C,rep2,14
A.2,c2,6C,rep2,15
A.2,c2,6C,rep2,16
A.2,c2,6C,rep2,17
A.2,c2,6C,rep2,18
A.2,c2,6C,rep2,19
A.2,c2,6C,rep2,20
A.2,c2,6C,rep2,21
C.4,c1,6C,rep2,9
C.4,c1,6C,rep2,10
C.4,c1,6C,rep2,11
C.4,c1,6C,rep2,12
C.4,c1,6C,rep2,13
B.6,e5,6C,rep2,8
B.6,e5,6C,rep2,9
B.6,e5,6C,rep2,10
B.6,e5,6C,rep2,11
B.6,e5,6C,rep2,12
B.6,e5,6C,rep2,13
B.6,e5,6C,rep2,14
B.6,e5,6C,rep2,15
B.6,e5,6C,rep2,16
B.6,e5,6C,rep2,17
B.6,e5,6C,rep2,18
B.6,e5,6C,rep2,19
B.6,e5,6C,rep2,20
B.6,e5,6C,rep2,21
D.7,a1,6C,rep2,8
D.7,a1,6C,rep2,9
D.7,a1,6C,rep2,10
D.7,a1,6C,rep2,11
D.7,a1,6C,rep2,12
D.7,a1,6C,rep2,13
D.7,a1,6C,rep2,14
D.7,a1,6C,rep2,15
D.7,a1,6C,rep2,16
B.8,b4,6C,rep2,0
B.8,b4,6C,rep2,1
B.8,b4,6C,rep2,2
B.8,b4,6C,rep2,3
B.8,b4,6C,rep2,4
B.8,b4,6C,rep2,5
B.8,b4,6C,rep2,6
B.8,b4,6C,rep2,7
B.8,b4,6C,rep2,8
B.8,b4,6C,rep2,9
B.8,b4,6C,rep2,10
B.8,b4,6C,rep2,11
B.8,b4,6C,rep2,12
B.8,b4,6C,rep2,13
B.8,b4,6C,rep2,14
B.8,b4,6C,rep2,15
B.8,b4,6C,rep2,16
B.8,b4,6C,rep2,17
B.8,b4,6C,rep2,18
B.8,b4,6C,rep2,19
B.8,b4,6C,rep2,20
B.8,b4,6C,rep2,21
C.4,a2,6C,rep2,0
C.4,a2,6C,rep2,1
C.4,a2,6C,rep2,2
C.4,a2,6C,rep2,3
C.4,a2,6C,rep2,4
C.4,a2,6C,rep2,5
C.4,a2,6C,rep2,6
C.4,a2,6C,rep2,7
C.4,a2,6C,rep2,8
C.4,a2,6C,rep2,9
C.4,a2,6C,rep2,10
C.4,a2,6C,rep2,11
C.4,a2,6C,rep2,12
C.1,d2,16C,rep2,11
C.1,d2,16C,rep2,12
C.1,d2,16C,rep2,13
C.1,d2,16C,rep2,14
C.1,d2,16C,rep2,15
C.1,d2,16C,rep2,16
C.1,d2,16C,rep2,17
C.1,d2,16C,rep2,18
C.1,d2,16C,rep2,19
C.1,d2,16C,rep2,20
C.1,d2,16C,rep2,21
D.2,e1,16C,rep2,16
D.2,e1,16C,rep2,17
D.2,e1,16C,rep2,18
D.2,e1,16C,rep2,19
D.2,e1,16C,rep2,20
D.2,e1,16C,rep2,21
C.8,a2,6C,rep3,0
C.8,a2,6C,rep3,1
C.8,a2,6C,rep3,2
C.8,a2,6C,rep3,3
C.8,a2,6C,rep3,4
C.8,a2,6C,rep3,5
C.8,a2,6C,rep3,6
C.8,a2,6C,rep3,7
C.8,a2,6C,rep3,8
C.8,a2,6C,rep3,9
C.8,a2,6C,rep3,10
C.8,a2,6C,rep3,11
C.8,a2,6C,rep3,12
C.8,a2,6C,rep3,13
C.8,a2,6C,rep3,14
C.8,a2,6C,rep3,15
C.8,a2,6C,rep3,16
C.8,a2,6C,rep3,17
C.8,a2,6C,rep3,18
C.8,a2,6C,rep3,19
C.8,a2,6C,rep3,20
C.8,a2,6C,rep3,21
A.5,a3,16C,rep3,6
A.5,a3,16C,rep3,7
A.5,a3,16C,rep3,8
A.5,a3,16C,rep3,9
A.5,a3,16C,rep3,10
A.5,a3,16C,rep3,11
A.5,a3,16C,rep3,12
A.5,a3,16C,rep3,13
A.5,a3,16C,rep3,14
A.5,a3,16C,rep3,15
A.5,a3,16C,rep3,16
A.5,a3,16C,rep3,17
A.5,a3,16C,rep3,18
A.5,a3,16C,rep3,19
A.5,a3,16C,rep3,20
A.5,a3,16C,rep3,21
B.7,e1,6C,rep2,1
C.3,e5,16C,rep2,0
C.3,e5,16C,rep2,1
C.3,e5,16C,rep2,2
C.3,e5,16C,rep2,3
C.3,e5,16C,rep2,4
D.7,a3,6C,rep2,1
D.7,a3,6C,rep2,2
D.7,a3,6C,rep2,3
D.7,a3,6C,rep2,4
D.7,a3,6C,rep2,5
D.7,a3,6C,rep2,6
D.7,a3,6C,rep2,7
D.7,a3,6C,rep2,8
D.7,a3,6C,rep2,9
D.7,a3,6C,rep2,10
D.7,a3,6C,rep2,11
D.7,a3,6C,rep2,12
D.7,a3,6C,rep2,13
D.7,a3,6C,rep2,14
D.7,a3,6C,rep2,15
D.7,a3,6C,rep2,16
D.7,a3,6C,rep2,17
D.7,a3,6C,rep2,18
D.7,a3,6C,rep2,19
D.7,a3,6C,rep2,20
D.7,a3,6C,rep2,21
B.3,e1,6C,rep2,16
B.3,e1,6C,rep2,17
B.3,e1,6C,rep2,18
B.3,e1,6C,rep2,19
B.3,e1,6C,rep2,20
B.3,e1,6C,rep2,21
A.4,e1,16C,rep2,4
A.4,e1,16C,rep2,5
A.1,e2,6C,rep3,1
A.1,e2,6C,rep3,2
A.1,e2,6C,rep3,3
A.1,e2,6C,rep3,4
A.1,e2,6C,rep3,5
A.1,e2,6C,rep3,6
A.1,e2,6C,rep3,7
A.1,e2,6C,rep3,8
A.1,e2,6C,rep3,9
A.1,e2,6C,rep3,10
A.1,e2,6C,rep3,11
A.1,e2,6C,rep3,12
A.1,e2,6C,rep3,13
A.1,e2,6C,rep3,14
A.1,e2,6C,rep3,15
A.1,e2,6C,rep3,16
A.1,e2,6C,rep3,17
A.1,e2,6C,rep3,18
A.1,e2,6C,rep3,19
A.1,e2,6C,rep3,20
A.1,e2,6C,rep3,21
A.3,c1,6C,rep3,1
A.3,c1,6C,rep3,2
A.3,c1,6C,rep3,3
A.3,c1,6C,rep3,4
A.3,c1,6C,rep3,5
A.3,c1,6C,rep3,6
A.3,c1,6C,rep3,7
A.3,c1,6C,rep3,8
A.3,c1,6C,rep3,9
A.3,c1,6C,rep3,10
A.3,c1,6C,rep3,11
A.3,c1,6C,rep3,12
A.3,c1,6C,rep3,13
A.3,c1,6C,rep3,14
A.3,c1,6C,rep3,15
A.3,c1,6C,rep3,16
A.7,c5,6C,rep3,1
A.7,c5,6C,rep3,2
A.7,c5,6C,rep3,3
A.7,c5,6C,rep3,4
A.7,c5,6C,rep3,5
A.7,c5,6C,rep3,6
A.7,c5,6C,rep3,7
A.7,c5,6C,rep3,8
A.7,c5,6C,rep3,9
A.7,c5,6C,rep3,10
A.7,c5,6C,rep3,11
A.7,c5,6C,rep3,12
A.7,c5,6C,rep3,13
A.7,c5,6C,rep3,14
A.7,c5,6C,rep3,15
A.7,c5,6C,rep3,16
A.7,c5,6C,rep3,17
A.7,c5,6C,rep3,18
A.7,c5,6C,rep3,19
A.7,c5,6C,rep3,20
A.7,c5,6C,rep3,21
C.6,d1,6C,rep2,1
C.6,d1,6C,rep2,2
C.6,d1,6C,rep2,3
C.6,d1,6C,rep2,4
C.6,d1,6C,rep2,5
C.6,d1,6C,rep2,6
C.6,d1,6C,rep2,7
C.6,d1,6C,rep2,8
D.4,d1,6C,rep3,8
D.4,d1,6C,rep3,9
C.7,b3,16C,rep3,0
C.7,b3,16C,rep3,1
C.7,b3,16C,rep3,2
C.7,b3,16C,rep3,3
C.7,b3,16C,rep3,4
C.7,b3,16C,rep3,5
C.7,b3,16C,rep3,6
C.7,b3,16C,rep3,7
C.7,b3,16C,rep3,8
C.7,b3,16C,rep3,9
C.7,b3,16C,rep3,10
C.7,b3,16C,rep3,11
C.7,b3,16C,rep3,12
C.7,b3,16C,rep3,13
C.7,b3,16C,rep3,14
C.7,b3,16C,rep3,15
C.7,b3,16C,rep3,16
C.7,b3,16C,rep3,17
C.7,b3,16C,rep3,18
C.7,b3,16C,rep3,19
C.7,b3,16C,rep3,20
C.7,b3,16C,rep3,21
D.7,c3,6C,rep3,0
D.7,c3,6C,rep3,1
D.7,c3,6C,rep3,2
D.7,c3,6C,rep3,3
D.7,c3,6C,rep3,4
D.7,c3,6C,rep3,5
D.7,c3,6C,rep3,6
D.7,c3,6C,rep3,7
D.7,c3,6C,rep3,8
D.7,c3,6C,rep3,9
D.7,c3,6C,rep3,10
D.7,c3,6C,rep3,11
D.7,c3,6C,rep3,12
D.7,c3,6C,rep3,13
D.7,c3,6C,rep3,14
D.7,c3,6C,rep3,15
D.7,c3,6C,rep3,16
D.7,c3,6C,rep3,17
D.7,c3,6C,rep3,18
D.7,c3,6C,rep3,19
D.7,c3,6C,rep3,20
D.7,c3,6C,rep3,21
D.4,a5,6C,rep2,3
D.4,a5,6C,rep2,4
D.4,a5,6C,rep2,5
D.8,a1,6C,rep3,0
D.8,a1,6C,rep3,1
D.8,a1,6C,rep3,2
D.8,a1,6C,rep3,3
D.8,a1,6C,rep3,4
D.8,a1,6C,rep3,5
D.8,a1,6C,rep3,6
D.8,a1,6C,rep3,7
D.8,a1,6C,rep3,8
D.8,a1,6C,rep3,9
D.8,a1,6C,rep3,10
D.8,a1,6C,rep3,11
D.8,a1,6C,rep3,12
D.8,a1,6C,rep3,13
D.8,a1,6C,rep3,14
D.8,a1,6C,rep3,15
D.8,a1,6C,rep3,16
D.8,a1,6C,rep3,17
D.8,a1,6C,rep3,18
D.8,a1,6C,rep3,19
D.8,a1,6C,rep3,20
D.8,a1,6C,rep3,21
A.6,e1,6C,rep2,0
A.6,e1,6C,rep2,1
A.6,e1,6C,rep2,2
A.6,e1,6C,rep2,3
A.6,e1,6C,rep2,4
A.6,e1,6C,rep2,5
A.6,e1,6C,rep2,6
A.6,e1,6C,rep2,7
A.6,e1,6C,rep2,8
A.6,e1,6C,rep2,9
A.6,e1,6C,rep2,10
A.6,e1,6C,rep2,11
A.6,e1,6C,rep2,12
A.6,e1,6C,rep2,13
A.6,e1,6C,rep2,14
A.6,e1,6C,rep2,15
A.6,e1,6C,rep2,16
A.6,e1,6C,rep2,17
A.6,e1,6C,rep2,18
A.6,e1,6C,rep2,19
A.6,e1,6C,rep2,20
A.6,e1,6C,rep2,21
B.5,c1,6C,rep1,0
B.5,c1,6C,rep1,1
B.5,c1,6C,rep1,2
B.5,c1,6C,rep1,3
B.5,c1,6C,rep1,4
B.5,c1,6C,rep1,5
B.5,c1,6C,rep1,6
B.5,c1,6C,rep1,7
B.5,c1,6C,rep1,8
B.5,c1,6C,rep1,9
B.5,c1,6C,rep1,10
B.5,c1,6C,rep1,11
B.5,c1,6C,rep1,12
B.5,c1,6C,rep1,13
B.5,c1,6C,rep1,14
B.5,c1,6C,rep1,15
B.5,c1,6C,rep1,16
B.5,c1,6C,rep1,17
B.5,c1,6C,rep1,18
B.5,c1,6C,rep1,19
B.5,c1,6C,rep1,20
B.5,c1,6C,rep1,21
B.4,d6,6C,rep3,0
B.4,d6,6C,rep3,1
B.4,d6,6C,rep3,2
B.4,d6,6C,rep3,3
B.4,d6,6C,rep3,4
B.4,d6,6C,rep3,5
B.4,d6,6C,rep3,6
B.4,d6,6C,rep3,7
B.4,d6,6C,rep3,8
B.4,d6,6C,rep3,9
B.4,d6,6C,rep3,10
B.4,d6,6C,rep3,11
B.4,d6,6C,rep3,12
B.4,d6,6C,rep3,13
B.4,d6,6C,rep3,14
B.4,d6,6C,rep3,15
B.4,d6,6C,rep3,16
B.4,d6,6C,rep3,17
B.4,d6,6C,rep3,18
B.4,d6,6C,rep3,19
B.4,d6,6C,rep3,20
B.4,d6,6C,rep3,21
C.5,b5,16C,rep3,0
C.5,b5,16C,rep3,1
C.5,b5,16C,rep3,2
C.5,b5,16C,rep3,3
C.5,b5,16C,rep3,4
C.5,b5,16C,rep3,5
C.5,b5,16C,rep3,6
C.5,b5,16C,rep3,7
C.5,b5,16C,rep3,8
C.5,b5,16C,rep3,9
C.5,b5,16C,rep3,10
C.5,b5,16C,rep3,11
C.5,b5,16C,rep3,12
C.5,b5,16C,rep3,13
C.5,b5,16C,rep3,14
C.5,b5,16C,rep3,15
C.5,b5,16C,rep3,16
C.5,b5,16C,rep3,17
C.5,b5,16C,rep3,18
C.5,b5,16C,rep3,19
C.5,b5,16C,rep3,20
C.5,b5,16C,rep3,21
D.6,e4,6C,rep3,0
D.6,e4,6C,rep3,1
D.6,e4,6C,rep3,2
D.6,e4,6C,rep3,3
D.6,e4,6C,rep3,4
D.6,e4,6C,rep3,5
D.6,e4,6C,rep3,6
D.6,e4,6C,rep3,7
D.6,e4,6C,rep3,8
D.6,e4,6C,rep3,9
D.6,e4,6C,rep3,10
D.6,e4,6C,rep3,11
D.6,e4,6C,rep3,12
D.6,e4,6C,rep3,13
D.6,e4,6C,rep3,14
D.6,e4,6C,rep3,15
D.6,e4,6C,rep3,16
D.6,e4,6C,rep3,17
D.6,e4,6C,rep3,18
D.6,e4,6C,rep3,19
D.6,e4,6C,rep3,20
D.6,e4,6C,rep3,21
D.5,b7,6C,rep3,0
D.5,b7,6C,rep3,1
D.5,b7,6C,rep3,2
D.5,b7,6C,rep3,3
D.5,b7,6C,rep3,4
D.5,b7,6C,rep3,5
D.5,b7,6C,rep3,6
D.5,b7,6C,rep3,7
D.5,b7,6C,rep3,8
D.5,b7,6C,rep3,9
D.5,b7,6C,rep3,10
D.5,b7,6C,rep3,11
D.5,b7,6C,rep3,12
D.5,b7,6C,rep3,13
D.5,b7,6C,rep3,14
D.5,b7,6C,rep3,15
D.5,b7,6C,rep3,16
D.5,b7,6C,rep3,17
D.5,b7,6C,rep3,18
D.5,b7,6C,rep3,19
D.5,b7,6C,rep3,20
D.5,b7,6C,rep3,21
A.5,b7,6C,rep3,0
A.5,b7,6C,rep3,1
A.5,b7,6C,rep3,2
A.5,b7,6C,rep3,3
A.5,b7,6C,rep3,4
A.5,b7,6C,rep3,5
A.5,b7,6C,rep3,6
A.5,b7,6C,rep3,7
A.5,b7,6C,rep3,8
A.5,b7,6C,rep3,9
A.5,b7,6C,rep3,10
A.5,b7,6C,rep3,11
A.5,b7,6C,rep3,12
A.5,b7,6C,rep3,13
A.5,b7,6C,rep3,14
A.5,b7,6C,rep3,15
A.5,b7,6C,rep3,16
A.5,b7,6C,rep3,17
A.5,b7,6C,rep3,18
A.5,b7,6C,rep3,19
A.5,b7,6C,rep3,20
A.5,b7,6C,rep3,21
D.7,b6,6C,rep3,0
D.7,b6,6C,rep3,1
D.7,b6,6C,rep3,2
D.7,b6,6C,rep3,3
D.7,b6,6C,rep3,4
D.7,b6,6C,rep3,5
D.7,b6,6C,rep3,6
D.7,b6,6C,rep3,7
D.7,b6,6C,rep3,8
D.7,b6,6C,rep3,9
D.7,b6,6C,rep3,10
D.7,b6,6C,rep3,11
D.7,b6,6C,rep3,12
D.7,b6,6C,rep3,13
D.7,b6,6C,rep3,14
D.7,b6,6C,rep3,15
D.7,b6,6C,rep3,16
D.7,b6,6C,rep3,17
D.7,b6,6C,rep3,18
D.7,b6,6C,rep3,19
D.7,b6,6C,rep3,20
D.7,b6,6C,rep3,21
C.9,b1,6C,rep2,0
C.9,b1,6C,rep2,1
C.9,b1,6C,rep2,2
C.9,b1,6C,rep2,3
C.9,b1,6C,rep2,4
C.9,b1,6C,rep2,5
A.7,a5,6C,rep2,0
A.7,a5,6C,rep2,1
A.7,a5,6C,rep2,2
A.7,a5,6C,rep2,3
A.7,a5,6C,rep2,4
A.7,a5,6C,rep2,5
A.7,a5,6C,rep2,6
A.7,a5,6C,rep2,7
A.7,a5,6C,rep2,8
A.7,a5,6C,rep2,9
A.7,a5,6C,rep2,10
A.7,a5,6C,rep2,11
A.7,a5,6C,rep2,12
A.7,a5,6C,rep2,13
A.7,a5,6C,rep2,14
A.7,a5,6C,rep2,15
A.7,a5,6C,rep2,16
A.7,a5,6C,rep2,17
A.7,a5,6C,rep2,18
A.7,a5,6C,rep2,19
A.7,a5,6C,rep2,20
A.7,a5,6C,rep2,21
D.5,d7,6C,rep2,0
D.5,d7,6C,rep2,1
D.5,d7,6C,rep2,2
D.5,d7,6C,rep2,3
D.5,d7,6C,rep2,4
D.5,d7,6C,rep2,5
D.5,d7,6C,rep2,6
D.5,d7,6C,rep2,7
D.5,d7,6C,rep2,8
D.5,d7,6C,rep2,9
D.5,d7,6C,rep2,10
D.5,d7,6C,rep2,11
D.5,d7,6C,rep2,12
D.5,d7,6C,rep2,13
D.5,d7,6C,rep2,14
D.5,d7,6C,rep2,15
D.5,d7,6C,rep2,16
D.5,d7,6C,rep2,17
D.5,d7,6C,rep2,18
D.5,d7,6C,rep2,19
D.5,d7,6C,rep2,20
D.5,d7,6C,rep2,21
C.4,d7,6C,rep2,15
C.4,d7,6C,rep2,16
C.4,d7,6C,rep2,17
C.4,d7,6C,rep2,18
C.4,d7,6C,rep2,19
C.4,d7,6C,rep2,20
C.4,d7,6C,rep2,21
D.9,c5,6C,rep3,0
D.9,c5,6C,rep3,1
D.9,c5,6C,rep3,2
D.9,c5,6C,rep3,3
D.9,c5,6C,rep3,4
D.9,c5,6C,rep3,5
D.9,c5,6C,rep3,6
D.9,c5,6C,rep3,7
D.9,c5,6C,rep3,8
D.9,c5,6C,rep3,9
D.9,c5,6C,rep3,10
D.9,c5,6C,rep3,11
D.9,c5,6C,rep3,12
D.9,c5,6C,rep3,13
D.9,c5,6C,rep3,14
D.9,c5,6C,rep3,15
D.9,c5,6C,rep3,16
D.9,c5,6C,rep3,17
D.9,c5,6C,rep3,18
D.9,c5,6C,rep3,19
D.9,c5,6C,rep3,20
D.9,c5,6C,rep3,21
A.2,d7,16C,rep2,0
A.2,d7,16C,rep2,1
A.2,d7,16C,rep2,2
A.2,d7,16C,rep2,3
A.2,d7,16C,rep2,4
A.2,d7,16C,rep2,5
A.2,d7,16C,rep2,6
A.2,d7,16C,rep2,7
A.2,d7,16C,rep2,8
A.2,d7,16C,rep2,9
A.2,d7,16C,rep2,10
A.2,d7,16C,rep2,11
A.2,d7,16C,rep2,12
A.2,d7,16C,rep2,13
A.2,d7,16C,rep2,14
A.2,d7,16C,rep2,15
A.2,d7,16C,rep2,16
A.2,d7,16C,rep2,17
A.2,d7,16C,rep2,18
A.2,d7,16C,rep2,19
A.2,d7,16C,rep2,20
